"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy.description","SharedDataModelResearchDataAccessPolicy.description","","","",1,1,"","","","string {[]} {[]}
","Free text further describing the policy, including description of necessary steps for gaining access to data","Free text further describing the policy, including description of necessary steps for gaining access to data","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchDataAccessPolicy.description",1,1,"",""
"SharedDataModelResearchDataAccessPolicy","SharedDataModelResearchDataAccessPolicy.website","SharedDataModelResearchDataAccessPolicy.website","","","",0,1,"","","","url {[]} {[]}
","TBD","TBD","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchDataAccessPolicy.website",0,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant","SharedDataModelResearchParticipant","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Participants","The **Shared Data Model for Research Participants**","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.participantID","SharedDataModelResearchParticipant.participantID","","","",1,1,"","","","string {[]} {[]}
","Unique participant identifier. System identifier used for internal references.","Unique participant identifier. System identifier used for internal references.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.participantID",1,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.externalID","SharedDataModelResearchParticipant.externalID","","","",0,*,"","","","code {[]} {[]}
","Unique participant identifier. System identifier used for internal references.","Unique participant identifier. System identifier used for internal references.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.externalID",0,*,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.population","SharedDataModelResearchParticipant.population","","","",0,*,"","","","code {[]} {[]}
","Population, Race, and/or Ethnicity information.","Population, Race, and/or Ethnicity information.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.population",0,*,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.ombRace","SharedDataModelResearchParticipant.ombRace","","","",0,*,"","","","code {[]} {[]}
","OMB coded Race for backwards compatibility","OMB coded Race for backwards compatibility","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.ombRace",0,*,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.ombEth","SharedDataModelResearchParticipant.ombEth","","","",0,*,"","","","code {[]} {[]}
","OMB coded Ethnicity for backwards compatibility","OMB coded Ethnicity for backwards compatibility","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.ombEth",0,*,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.sex","SharedDataModelResearchParticipant.sex","","","",1,1,"","","","code {[]} {[]}
","Sex assigned at birth (or pre-natal observed sex)","Sex assigned at birth (or pre-natal observed sex)","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.sex",1,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.dateOfBirth","SharedDataModelResearchParticipant.dateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of Birth of the participant. Details of privacy method should be included in DOBMethod","Date of Birth of the participant. Details of privacy method should be included in DOBMethod","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.dateOfBirth",0,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.dobMethod","SharedDataModelResearchParticipant.dobMethod","","","",0,1,"","","","code {[]} {[]}
","Specifies method used to alter DOB for research sharing. Details should be available in the study protocols.","Specifies method used to alter DOB for research sharing. Details should be available in the study protocols.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.dobMethod",0,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.ageAtLastVitalStatus","SharedDataModelResearchParticipant.ageAtLastVitalStatus","","","",0,1,"","","","date {[]} {[]}
","Age at last vital status","Age at last vital status","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.ageAtLastVitalStatus",0,1,"",""
"SharedDataModelResearchParticipant","SharedDataModelResearchParticipant.vitalStatus","SharedDataModelResearchParticipant.vitalStatus","","","",0,1,"","","","code {[]} {[]}
","Vital Status","Vital Status","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchParticipant.vitalStatus",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy","SharedDataModelResearchStudy","","","",0,*,"","","","null {[]} {[]}
","Shared Data Model for Research Study","The **Shared Data Model for Research Study** represents the understanding of what a Research Study is from the context of users and authors of the NCPI FHIR IG.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.persistentIdentifier","SharedDataModelResearchStudy.persistentIdentifier","","","",0,*,"","","","Identifier {[]} {[]}
","External facing, globally unique identifier.","External facing, globally unique identifier.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.persistentIdentifier",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.parentStudy","SharedDataModelResearchStudy.parentStudy","","","",0,1,"","","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/StructureDefinition/SharedDataModelResearchStudy {[]} {[]}
","Parent study, required only for substudies.","Parent study, required only for substudies.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.parentStudy",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name","SharedDataModelResearchStudy.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","Name is a repeatable object that consists of sets of two fields.  All ResearchStudy records must have at least one Name object with Name.Type=”formal title”.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.name",1,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name.id","SharedDataModelResearchStudy.name.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name.extension","SharedDataModelResearchStudy.name.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name.modifierExtension","SharedDataModelResearchStudy.name.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name.text","SharedDataModelResearchStudy.name.text","","","",1,1,"","","","string {[]} {[]}
","The study's name","The study's name","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.name.text",1,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.name.type","SharedDataModelResearchStudy.name.type","","","",0,1,"","","","code {[]} {[]}
","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","Type of name or title this name relates to (formal-title, internale-name, familiar-name, etc)","","","","","","","","","",,"extensible","","https://nih-ncpi.github.io/ncpi-fhir-ig-2/ValueSet/study-name-type-vs","",,,,"SharedDataModelResearchStudy.name.type",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.description","SharedDataModelResearchStudy.description","","","",1,1,"","","","string {[]} {[]}
","short summary of relevant and important information about the study.","short summary of relevant and important information about the study.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.description",1,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.website","SharedDataModelResearchStudy.website","","","",0,*,"","","","url {[]} {[]}
","A URL for a website that provides information about the research effort as a whole.","A URL for a website that provides information about the research effort as a whole.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.website",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.totalParticipants","SharedDataModelResearchStudy.totalParticipants","","","",0,1,"","","","integer {[]} {[]}
","Number of total participants represented by the data in this study.","Number of total participants represented by the data in this study.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.totalParticipants",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus","SharedDataModelResearchStudy.studyFocus","","","",0,*,"","","","BackboneElement {[]} {[]}
","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","The primary focus(es) of the study. This can include terms related to disease area, intervention, drug, device, or other focus. MeSH terms are preferred.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.studyFocus",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus.id","SharedDataModelResearchStudy.studyFocus.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus.extension","SharedDataModelResearchStudy.studyFocus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus.modifierExtension","SharedDataModelResearchStudy.studyFocus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus.term","SharedDataModelResearchStudy.studyFocus.term","","","",1,1,"","","","string {[]} {[]}
","The term used to describe the focus of the study. A valid MeSH is preferred.","The term used to describe the focus of the study. A valid MeSH is preferred.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.studyFocus.term",1,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.studyFocus.termSource","SharedDataModelResearchStudy.studyFocus.termSource","","","",0,1,"","","","string {[]} {[]}
","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","The source ontology or vocabulary for subjectFocus.Term (optional if term uses curie).","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.studyFocus.termSource",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.enrollmentCriteria","SharedDataModelResearchStudy.enrollmentCriteria","","","",0,1,"","","","markdown {[]} {[]}
","EnrollmentCriteria describes the inclusion and exclusion criteria used to enroll participants in this study. This can be provided as a free text description, but may also be structured using bullets, tables, or other organizational methods.","EnrollmentCriteria describes the inclusion and exclusion criteria used to enroll participants in this study. This can be provided as a free text description, but may also be structured using bullets, tables, or other organizational methods.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.enrollmentCriteria",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population","SharedDataModelResearchStudy.population","","","",0,*,"","","","BackboneElement {[]} {[]}
","Population is a repeatable object that consists of sets of two fields. Population provides an overall description of the general population enrolled in the study, including basic demographics at a minimum and other useful population descriptors as appropriate.","Population is a repeatable object that consists of sets of two fields. Population provides an overall description of the general population enrolled in the study, including basic demographics at a minimum and other useful population descriptors as appropriate.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.population",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population.id","SharedDataModelResearchStudy.population.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population.extension","SharedDataModelResearchStudy.population.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population.modifierExtension","SharedDataModelResearchStudy.population.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population.type","SharedDataModelResearchStudy.population.type","","","",1,1,"","","","string {[]} {[]}
","A term that specifies the population being described.","A term that specifies the population being described.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.population.type",1,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.population.description","SharedDataModelResearchStudy.population.description","","","",0,1,"","","","string {[]} {[]}
","A free text field that provides more information about the population specified in PopulationType within the context of this researchStudy.","A free text field that provides more information about the population specified in PopulationType within the context of this researchStudy.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.population.description",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.citation","SharedDataModelResearchStudy.citation","","","",0,*,"","","","string {[]} {[]}
","Provide any relevant information regarding how to cite this study. This can be as specific as including a full citation or as simple as a DOI.","Provide any relevant information regarding how to cite this study. This can be as specific as including a full citation or as simple as a DOI.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.citation",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.publications","SharedDataModelResearchStudy.publications","","","",0,*,"","","","string {[]} {[]}
","Provide a list of publications that use this data. This may be updated to include new publications as they are created.","Provide a list of publications that use this data. This may be updated to include new publications as they are created.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.publications",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.additionalDocumentation","SharedDataModelResearchStudy.additionalDocumentation","","","",0,*,"","","","string {[]} {[]}
","AdditionalDocumentation should be used to provide URLs, citations, or other appropriate references to technical documentation that is important for understanding the data included in this study. This can include data dictionaries, methods descriptions, github repositories, case report forms (CRFs), or any other relevant documentation.","AdditionalDocumentation should be used to provide URLs, citations, or other appropriate references to technical documentation that is important for understanding the data included in this study. This can include data dictionaries, methods descriptions, github repositories, case report forms (CRFs), or any other relevant documentation.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.additionalDocumentation",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.consortium","SharedDataModelResearchStudy.consortium","","","",0,1,"","","","string {[]} {[]}
","If the data in this study was gathered as part of a consortial effort, list the consortium here.","If the data in this study was gathered as part of a consortial effort, list the consortium here.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.consortium",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.acknowledgements","SharedDataModelResearchStudy.acknowledgements","","","",0,*,"","","","string {[]} {[]}
","Acknowledgements describes any attribution or acknowledgements relevant to the study.  This can include but is not limited to funding sources, organizational affiliations or sponsors.","Acknowledgements describes any attribution or acknowledgements relevant to the study.  This can include but is not limited to funding sources, organizational affiliations or sponsors.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.acknowledgements",0,*,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.personnel","SharedDataModelResearchStudy.personnel","","","",0,*,"","","","BackboneElement {[]} {[]}
","Every study must have at least one Primary Contact defined. Additional personnel such as Primary Investigator(s), Administrator(s), Collaborator(s) or other roles may also be included. If there are no appropriate individuals who can serve as primary contact for a study, an organization may be provided.","Every study must have at least one Primary Contact defined. Additional personnel such as Primary Investigator(s), Administrator(s), Collaborator(s) or other roles may also be included. If there are no appropriate individuals who can serve as primary contact for a study, an organization may be provided.","","","","","","","","","",,,,,"",,,,"SharedDataModelResearchStudy.personnel",0,*,"","ele-1:All FHIR elements must have a @value or children unless an empty Parameters resource {hasValue() or (children().count() > id.count()) or $this is Parameters}
"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.personnel.id","SharedDataModelResearchStudy.personnel.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.personnel.extension","SharedDataModelResearchStudy.personnel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SharedDataModelResearchStudy","SharedDataModelResearchStudy.personnel.modifierExtension","SharedDataModelResearchStudy.personnel.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4B/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
